datawarehouse,table_catalog,table_schema,table_name,column_name
Transpose,,ethereum,accounts,address
Transpose,,ethereum,accounts,type
Transpose,,ethereum,accounts,last_active_timestamp
Transpose,,ethereum,accounts,created_timestamp
Transpose,,ethereum,accounts,creator_address
Transpose,,ethereum,blocks,block_number
Transpose,,ethereum,blocks,block_hash
Transpose,,ethereum,blocks,timestamp
Transpose,,ethereum,blocks,parent_hash
Transpose,,ethereum,blocks,mix_hash
Transpose,,ethereum,blocks,nonce
Transpose,,ethereum,blocks,sha3_uncles
Transpose,,ethereum,blocks,difficulty
Transpose,,ethereum,blocks,total_difficulty
Transpose,,ethereum,blocks,size_bytes
Transpose,,ethereum,blocks,base_fee_per_gas
Transpose,,ethereum,blocks,gas_limit
Transpose,,ethereum,blocks,gas_used
Transpose,,ethereum,blocks,total_fees_burned
Transpose,,ethereum,blocks,total_fees_rewarded
Transpose,,ethereum,blocks,total_fees_saved
Transpose,,ethereum,blocks,transaction_count
Transpose,,ethereum,blocks,miner_address
Transpose,,ethereum,blocks,block_reward
Transpose,,ethereum,blocks,uncle_count
Transpose,,ethereum,blocks,uncle_1_address
Transpose,,ethereum,blocks,uncle_2_address
Transpose,,ethereum,blocks,uncle_1_reward
Transpose,,ethereum,blocks,uncle_2_reward
Transpose,,ethereum,blocks,__confirmed
Transpose,,ethereum,logs,block_number
Transpose,,ethereum,logs,timestamp
Transpose,,ethereum,logs,transaction_hash
Transpose,,ethereum,logs,transaction_position
Transpose,,ethereum,logs,log_index
Transpose,,ethereum,logs,address
Transpose,,ethereum,logs,topic_0
Transpose,,ethereum,logs,topic_1
Transpose,,ethereum,logs,topic_2
Transpose,,ethereum,logs,topic_3
Transpose,,ethereum,logs,data
Transpose,,ethereum,logs,__confirmed
Transpose,,ethereum,traces,block_number
Transpose,,ethereum,traces,timestamp
Transpose,,ethereum,traces,transaction_hash
Transpose,,ethereum,traces,transaction_position
Transpose,,ethereum,traces,trace_index
Transpose,,ethereum,traces,trace_address
Transpose,,ethereum,traces,trace_type
Transpose,,ethereum,traces,from_address
Transpose,,ethereum,traces,to_address
Transpose,,ethereum,traces,value
Transpose,,ethereum,traces,contract_address
Transpose,,ethereum,traces,input
Transpose,,ethereum,traces,output
Transpose,,ethereum,traces,__confirmed
Transpose,,ethereum,transactions,block_number
Transpose,,ethereum,transactions,timestamp
Transpose,,ethereum,transactions,transaction_hash
Transpose,,ethereum,transactions,base_fee_per_gas
Transpose,,ethereum,transactions,max_priority_fee_per_gas
Transpose,,ethereum,transactions,max_fee_per_gas
Transpose,,ethereum,transactions,gas_limit
Transpose,,ethereum,transactions,gas_used
Transpose,,ethereum,transactions,gas_price
Transpose,,ethereum,transactions,transaction_fee
Transpose,,ethereum,transactions,fees_burned
Transpose,,ethereum,transactions,fees_rewarded
Transpose,,ethereum,transactions,fees_saved
Transpose,,ethereum,transactions,nonce
Transpose,,ethereum,transactions,position
Transpose,,ethereum,transactions,type
Transpose,,ethereum,transactions,from_address
Transpose,,ethereum,transactions,to_address
Transpose,,ethereum,transactions,value
Transpose,,ethereum,transactions,contract_address
Transpose,,ethereum,transactions,input
Transpose,,ethereum,transactions,output
Transpose,,ethereum,transactions,internal_transaction_count
Transpose,,ethereum,transactions,log_count
Transpose,,ethereum,transactions,__confirmed
Transpose,,ethereum,nfts,contract_address
Transpose,,ethereum,nfts,token_id
Transpose,,ethereum,nfts,minted_timestamp
Transpose,,ethereum,nfts,supply
Transpose,,ethereum,nfts,last_refreshed
Transpose,,ethereum,nfts,name
Transpose,,ethereum,nfts,description
Transpose,,ethereum,nfts,image_url
Transpose,,ethereum,nfts,external_url
Transpose,,ethereum,nfts,media_url
Transpose,,ethereum,nfts,properties
Transpose,,ethereum,nfts,metadata_url
Transpose,,ethereum,collections,contract_address
Transpose,,ethereum,collections,created_timestamp
Transpose,,ethereum,collections,standard
Transpose,,ethereum,collections,count
Transpose,,ethereum,collections,last_refreshed
Transpose,,ethereum,collections,name
Transpose,,ethereum,collections,symbol
Transpose,,ethereum,collections,description
Transpose,,ethereum,collections,external_url
Transpose,,ethereum,collections,image_url
Transpose,,ethereum,collections,is_nsfw
Transpose,,ethereum,collections,opensea_slug
Transpose,,ethereum,collections,opensea_url
Transpose,,ethereum,nft_owners,contract_address
Transpose,,ethereum,nft_owners,token_id
Transpose,,ethereum,nft_owners,owner_address
Transpose,,ethereum,nft_owners,balance
Transpose,,ethereum,nft_transfers,contract_address
Transpose,,ethereum,nft_transfers,token_id
Transpose,,ethereum,nft_transfers,timestamp
Transpose,,ethereum,nft_transfers,block_number
Transpose,,ethereum,nft_transfers,transaction_hash
Transpose,,ethereum,nft_transfers,log_index
Transpose,,ethereum,nft_transfers,category
Transpose,,ethereum,nft_transfers,operator_address
Transpose,,ethereum,nft_transfers,from_address
Transpose,,ethereum,nft_transfers,to_address
Transpose,,ethereum,nft_transfers,quantity
Transpose,,ethereum,nft_transfers,activity_id
Transpose,,ethereum,nft_transfers,__confirmed
Transpose,,ethereum,native_token_owners,owner_address
Transpose,,ethereum,native_token_owners,balance
Transpose,,ethereum,native_token_transfers,timestamp
Transpose,,ethereum,native_token_transfers,block_number
Transpose,,ethereum,native_token_transfers,transaction_hash
Transpose,,ethereum,native_token_transfers,category
Transpose,,ethereum,native_token_transfers,from_address
Transpose,,ethereum,native_token_transfers,to_address
Transpose,,ethereum,native_token_transfers,quantity
Transpose,,ethereum,native_token_transfers,activity_id
Transpose,,ethereum,native_token_transfers,__confirmed
Transpose,,ethereum,tokens,contract_address
Transpose,,ethereum,tokens,created_timestamp
Transpose,,ethereum,tokens,standard
Transpose,,ethereum,tokens,supply
Transpose,,ethereum,tokens,last_refreshed
Transpose,,ethereum,tokens,name
Transpose,,ethereum,tokens,symbol
Transpose,,ethereum,tokens,decimals
Transpose,,ethereum,tokens,description
Transpose,,ethereum,tokens,external_url
Transpose,,ethereum,tokens,image_url
Transpose,,ethereum,tokens,verified
Transpose,,ethereum,token_owners,contract_address
Transpose,,ethereum,token_owners,owner_address
Transpose,,ethereum,token_owners,balance
Transpose,,ethereum,token_transfers,contract_address
Transpose,,ethereum,token_transfers,timestamp
Transpose,,ethereum,token_transfers,block_number
Transpose,,ethereum,token_transfers,transaction_hash
Transpose,,ethereum,token_transfers,log_index
Transpose,,ethereum,token_transfers,category
Transpose,,ethereum,token_transfers,operator_address
Transpose,,ethereum,token_transfers,from_address
Transpose,,ethereum,token_transfers,to_address
Transpose,,ethereum,token_transfers,quantity
Transpose,,ethereum,token_transfers,activity_id
Transpose,,ethereum,token_transfers,__confirmed
Transpose,,ethereum,protocols,contract_address
Transpose,,ethereum,protocols,protocol_name
Transpose,,ethereum,protocols,contract_version
Transpose,,ethereum,protocols,contract_type
Transpose,,ethereum,protocols,tables
Transpose,,ethereum,nft_sales,block_number
Transpose,,ethereum,nft_sales,log_index
Transpose,,ethereum,nft_sales,transaction_hash
Transpose,,ethereum,nft_sales,timestamp
Transpose,,ethereum,nft_sales,exchange_name
Transpose,,ethereum,nft_sales,contract_version
Transpose,,ethereum,nft_sales,aggregator_name
Transpose,,ethereum,nft_sales,contract_address
Transpose,,ethereum,nft_sales,token_id
Transpose,,ethereum,nft_sales,is_multi_token_sale
Transpose,,ethereum,nft_sales,multi_token_sale_index
Transpose,,ethereum,nft_sales,price
Transpose,,ethereum,nft_sales,usd_price
Transpose,,ethereum,nft_sales,eth_price
Transpose,,ethereum,nft_sales,payment_token_address
Transpose,,ethereum,nft_sales,quantity
Transpose,,ethereum,nft_sales,seller_address
Transpose,,ethereum,nft_sales,buyer_address
